label,type,opA,opB,m,n,k,reps,num_moduli,cublas_ms_med,cublas_ms_min,g8_ms_med,g8_ms_min,s_gemm_med,cublas_gflops,g8_gflops,ws_MiB,relerr
bcol216_fwd1,z,N,N,2808,2808,2808,7,15,215.113,214.925,11.574,11.571,18.585,823.4,15303.3,1013.3,6.000e-15
bcol216_fwd2,z,C,N,2808,2808,2808,7,15,216.013,214.942,11.248,11.232,19.204,820.0,15746.6,1013.3,7.944e-15
bcol216_back,z,T,T,2808,2808,2808,7,15,215.248,214.938,11.537,11.523,18.657,822.9,15352.4,1013.3,6.790e-15
bcol384_fwd1,z,N,N,4992,4992,4992,7,15,1189.736,1189.175,50.218,50.162,23.692,836.5,19817.9,3245.6,8.812e-15
bcol384_fwd2,z,C,N,4992,4992,4992,7,15,1190.073,1189.309,48.468,48.462,24.554,836.3,20533.1,3245.6,8.131e-15
bcol384_back,z,T,T,4992,4992,4992,7,15,1193.097,1190.950,50.252,50.202,23.742,834.1,19804.5,3245.6,8.620e-15
bnc128_fwd1,z,N,N,1664,1664,1664,7,15,49.103,46.746,4.227,4.095,11.616,750.7,8719.8,411.5,4.857e-15
bnc128_fwd2,z,C,N,1664,1664,1664,7,15,46.734,46.726,4.021,3.927,11.622,788.7,9166.4,411.5,4.681e-15
bnc128_back,z,T,T,3328,3328,3328,7,15,353.614,353.539,20.193,20.181,17.512,833.9,14603.0,1405.1,6.426e-15
bnc216_fwd1,z,N,N,2808,2808,2808,7,15,215.547,215.516,11.601,11.596,18.580,821.7,15267.8,1013.3,6.000e-15
bnc216_fwd2,z,C,N,2808,2808,2808,7,15,215.677,215.520,11.280,11.259,19.119,821.3,15702.0,1013.3,7.944e-15
bnc216_back,z,T,T,5616,5616,5616,7,15,1704.265,1702.388,70.942,70.905,24.023,831.4,19974.2,3985.5,1.393e-14
ccol216_fwd1,d,N,N,2808,2808,2808,7,15,57.495,54.459,4.429,4.302,12.980,770.2,9997.0,394.3,4.249e-15
ccol216_fwd2,d,T,N,2808,2808,2808,7,15,59.112,56.274,4.375,4.251,13.510,749.1,10120.7,394.3,4.209e-15
ccol216_back,d,T,T,832,2808,2808,7,15,17.635,17.634,2.122,2.122,8.309,744.0,6181.8,235.7,2.861e-15
ccol216_back1,d,T,T,2808,2808,2808,7,15,58.401,56.277,4.369,4.341,13.368,758.2,10136.1,394.3,4.124e-15
ccol512_fwd1,d,N,N,6656,6656,6656,7,15,708.424,707.035,38.134,38.090,18.577,832.5,15465.1,2070.3,7.126e-15
ccol512_fwd2,d,T,N,6656,6656,6656,7,15,708.217,707.074,37.687,37.651,18.792,832.7,15648.8,2070.3,6.937e-15
ccol512_back,d,T,T,1689,6656,6656,7,15,180.930,180.823,11.826,11.809,15.299,827.1,12654.3,1041.1,7.171e-15
ccol512_back1,d,T,T,6656,6656,6656,7,15,708.516,707.094,38.180,38.121,18.557,832.4,15446.8,2070.3,7.521e-15
cnc216_dfwd1,d,N,N,2808,2808,2808,7,15,59.114,56.461,4.501,4.372,13.133,749.1,9837.7,394.3,4.249e-15
cnc216_dfwd2,d,T,N,2808,2808,2808,7,15,57.139,55.481,4.266,4.164,13.393,775.0,10379.3,394.3,4.209e-15
cnc216_zback,z,T,T,1987,5616,5616,7,15,607.578,606.469,30.848,30.829,19.696,825.2,16252.4,2323.1,9.591e-15
cnc216_zback1,z,T,T,5616,5616,5616,7,15,1702.710,1702.455,71.127,71.022,23.939,832.2,19922.3,3985.5,1.393e-14
sweep_d_1024,d,N,N,1024,1024,1024,7,15,3.218,3.215,0.486,0.484,6.623,667.4,4420.3,80.0,2.768e-15
sweep_d_1664,d,N,N,1664,1664,1664,7,15,12.651,12.649,1.541,1.539,8.209,728.4,5979.5,171.8,3.432e-15
sweep_d_2048,d,N,N,2048,2048,2048,7,15,22.883,22.882,2.193,2.189,10.434,750.8,7833.6,224.0,3.695e-15
sweep_d_2808,d,N,N,2808,2808,2808,7,15,57.269,55.685,4.388,4.294,13.050,773.2,10090.5,394.3,4.249e-15
