label,type,opA,opB,m,n,k,reps,num_moduli,cublas_ms_med,cublas_ms_min,g8_ms_med,g8_ms_min,s_gemm_med,cublas_gflops,g8_gflops,ws_MiB,relerr
bcol216_fwd1,z,N,N,2808,2808,2808,7,15,5.167,5.008,5.577,5.271,0.926,34279.9,31759.5,1013.3,6.365e-15
bcol216_fwd2,z,C,N,2808,2808,2808,7,15,4.188,4.104,5.001,4.841,0.838,42289.7,35419.9,1013.3,7.414e-15
bcol216_back,z,T,T,2808,2808,2808,7,15,5.846,5.004,5.618,5.263,1.041,30298.0,31529.4,1013.3,6.378e-15
bcol384_fwd1,z,N,N,4992,4992,4992,7,15,33.097,32.617,25.127,24.873,1.317,30069.3,39606.8,3245.6,8.889e-15
bcol384_fwd2,z,C,N,4992,4992,4992,7,15,33.493,33.466,23.998,23.351,1.396,29714.1,41470.1,3245.6,8.591e-15
bcol384_back,z,T,T,4992,4992,4992,7,15,26.658,25.478,24.281,24.080,1.098,37332.7,40987.9,3245.6,8.318e-15
bnc128_fwd1,z,N,N,1664,1664,1664,7,15,1.011,1.009,2.389,2.387,0.423,36473.2,15426.2,411.5,4.715e-15
bnc128_fwd2,z,C,N,1664,1664,1664,7,15,1.000,0.997,2.269,2.264,0.441,36869.0,16245.4,411.5,4.956e-15
bnc128_back,z,T,T,3328,3328,3328,7,15,10.063,10.025,8.153,7.625,1.234,29304.4,36166.0,1405.1,6.426e-15
bnc216_fwd1,z,N,N,2808,2808,2808,7,15,5.247,4.997,5.639,5.282,0.930,33756.2,31409.7,1013.3,6.365e-15
bnc216_fwd2,z,C,N,2808,2808,2808,7,15,4.166,4.119,5.073,4.830,0.821,42512.9,34918.1,1013.3,7.414e-15
bnc216_back,z,T,T,5616,5616,5616,7,15,39.095,38.673,30.432,30.132,1.285,36244.7,46562.8,3985.5,1.379e-14
ccol216_fwd1,d,N,N,2808,2808,2808,7,15,1.161,1.159,1.759,1.755,0.660,38152.6,25178.2,394.3,4.249e-15
ccol216_fwd2,d,T,N,2808,2808,2808,7,15,1.210,1.208,1.655,1.652,0.731,36587.0,26757.0,394.3,4.209e-15
ccol216_back,d,T,T,832,2808,2808,7,15,0.410,0.409,0.940,0.938,0.437,31962.3,13960.7,235.7,1.692e-15
ccol216_back1,d,T,T,2808,2808,2808,7,15,1.208,1.205,1.767,1.763,0.684,36663.6,25061.0,394.3,4.124e-15
ccol512_fwd1,d,N,N,6656,6656,6656,7,15,16.147,14.233,15.495,14.822,1.042,36524.7,38059.6,2070.3,7.126e-15
ccol512_fwd2,d,T,N,6656,6656,6656,7,15,15.976,13.797,15.021,14.730,1.064,36914.3,39262.7,2070.3,6.937e-15
ccol512_back,d,T,T,1689,6656,6656,7,15,4.569,4.365,5.443,5.274,0.839,32754.3,27496.9,1041.1,7.171e-15
ccol512_back1,d,T,T,6656,6656,6656,7,15,16.114,14.358,15.514,14.908,1.039,36598.2,38013.2,2070.3,7.521e-15
cnc216_dfwd1,d,N,N,2808,2808,2808,7,15,1.163,1.162,1.761,1.757,0.660,38085.4,25149.4,394.3,4.249e-15
cnc216_dfwd2,d,T,N,2808,2808,2808,7,15,1.211,1.209,1.656,1.652,0.731,36571.5,26747.7,394.3,4.209e-15
cnc216_zback,z,T,T,1987,5616,5616,7,15,17.148,16.720,15.179,14.788,1.130,29236.7,33030.2,2323.1,9.591e-15
cnc216_zback1,z,T,T,5616,5616,5616,7,15,39.438,38.504,30.641,30.293,1.287,35929.5,46245.6,3985.5,1.379e-14
bcol300_fwd1,z,N,N,3900,3900,3900,7,15,16.474,16.337,14.198,13.301,1.160,28806.5,33423.1,2046.9,7.358e-15
bcol300_fwd2,z,C,N,3900,3900,3900,7,15,16.391,16.233,13.106,12.733,1.251,28952.4,36208.8,2046.9,7.121e-15
bcol300_back,z,T,T,3900,3900,3900,7,15,16.398,16.376,14.049,13.133,1.167,28938.9,33778.6,2046.9,7.047e-15
ccol360_fwd1,d,N,N,4680,4680,4680,7,15,5.733,5.576,7.273,6.551,0.788,35761.1,28187.7,1086.9,6.169e-15
ccol360_fwd2,d,T,N,4680,4680,4680,7,15,5.645,5.526,6.776,6.325,0.833,36316.5,30256.1,1086.9,6.803e-15
ccol360_back,d,T,T,1188,4680,4680,7,15,1.455,1.450,2.263,2.257,0.643,35767.0,22995.7,549.5,6.035e-15
ccol360_back1,d,T,T,4680,4680,4680,7,15,5.741,5.541,7.153,6.546,0.803,35709.8,28660.0,1086.9,5.947e-15
cnc300_dfwd1,d,N,N,3900,3900,3900,7,15,3.174,3.096,4.484,4.305,0.708,37374.9,26459.8,774.8,5.118e-15
cnc300_dfwd2,d,T,N,3900,3900,3900,7,15,3.199,3.170,4.361,4.142,0.734,37084.0,27204.8,774.8,6.317e-15
cnc300_zback,z,T,T,2760,7800,7800,7,15,46.450,46.404,32.725,31.692,1.419,28920.0,41049.6,4495.4,1.268e-14
cnc300_zback1,z,T,T,7800,7800,7800,7,15,112.755,108.652,72.634,71.606,1.552,33669.7,52268.1,7838.7,1.241e-14
sweep_d_1024,d,N,N,1024,1024,1024,7,15,0.077,0.076,0.370,0.369,0.208,27892.3,5801.8,80.0,2.768e-15
sweep_d_1664,d,N,N,1664,1664,1664,7,15,0.237,0.237,0.933,0.930,0.254,38846.0,9877.7,171.8,3.432e-15
sweep_d_2048,d,N,N,2048,2048,2048,7,15,0.430,0.429,1.296,1.294,0.332,39966.6,13253.5,224.0,3.695e-15
sweep_d_2808,d,N,N,2808,2808,2808,7,15,1.170,1.167,1.765,1.761,0.663,37856.1,25095.1,394.3,4.249e-15
sweep_d_3328,d,N,N,3328,3328,3328,7,15,1.957,1.933,2.657,2.656,0.737,37662.2,27742.6,539.0,5.479e-15
sweep_d_3900,d,N,N,3900,3900,3900,7,15,3.174,3.080,4.499,4.303,0.705,37378.3,26369.4,774.8,5.118e-15
sweep_d_4096,d,N,N,4096,4096,4096,7,15,3.659,3.617,4.391,4.386,0.833,37560.8,31299.2,800.0,5.475e-15
sweep_d_4680,d,N,N,4680,4680,4680,7,15,5.682,5.505,7.053,6.623,0.806,36079.5,29065.4,1086.9,6.169e-15
sweep_d_4992,d,N,N,4992,4992,4992,7,15,6.236,5.859,8.214,7.693,0.759,39898.9,30289.8,1211.4,6.265e-15
sweep_d_5616,d,N,N,5616,5616,5616,7,15,9.511,8.304,10.405,9.831,0.914,37247.9,34047.6,1481.2,6.842e-15
sweep_d_6656,d,N,N,6656,6656,6656,7,15,16.316,14.003,15.546,15.231,1.049,36146.6,37935.4,2070.3,7.126e-15
sweep_d_7800,d,N,N,7800,7800,7800,7,15,26.869,26.004,24.680,24.477,1.089,35322.8,38455.9,2908.1,7.173e-15
sweep_z_1024,z,N,N,1024,1024,1024,7,15,0.221,0.221,0.872,0.867,0.253,38853.0,9847.2,162.0,3.620e-15
sweep_z_1664,z,N,N,1664,1664,1664,7,15,1.010,1.008,2.385,2.378,0.423,36509.1,15454.4,411.5,4.715e-15
sweep_z_2048,z,N,N,2048,2048,2048,7,15,2.006,2.002,3.529,3.521,0.568,34254.5,19473.2,552.0,5.760e-15
sweep_z_2808,z,N,N,2808,2808,2808,7,15,5.148,5.001,5.671,5.274,0.908,34406.7,31231.6,1013.3,6.365e-15
sweep_z_3328,z,N,N,3328,3328,3328,7,15,9.984,9.968,8.206,7.615,1.217,29535.6,35933.5,1405.1,6.418e-15
sweep_z_3900,z,N,N,3900,3900,3900,7,15,16.490,16.298,14.070,13.184,1.172,28777.5,33729.1,2046.9,7.358e-15
sweep_z_4096,z,N,N,4096,4096,4096,7,15,14.720,13.311,13.845,13.199,1.063,37347.7,39707.5,2112.0,8.039e-15
sweep_z_4680,z,N,N,4680,4680,4680,7,15,27.693,27.470,21.798,21.543,1.270,29610.8,37618.6,2904.0,8.423e-15
sweep_z_4992,z,N,N,4992,4992,4992,7,15,33.174,32.656,25.219,24.951,1.315,29999.4,39462.0,3245.6,8.889e-15
sweep_z_5616,z,N,N,5616,5616,5616,7,15,39.569,39.126,30.665,30.044,1.290,35811.3,46208.7,3985.5,9.129e-15
